Kode,Industri,Market Cap
SDPC,Consumer Non-Cyclicals,249704005632.0
SGRO,Consumer Non-Cyclicals,14230716678144.0
SIMP,Consumer Non-Cyclicals,8835747020800.0
SIPD,Consumer Non-Cyclicals,2703480061952.0
SKBM,Consumer Non-Cyclicals,1020760883200.0
SKLT,Consumer Non-Cyclicals,1658434486272.0
SMAR,Consumer Non-Cyclicals,16012477988864.0
SSMS,Consumer Non-Cyclicals,16049624842240.0
STTP,Consumer Non-Cyclicals,12936249606144.0
TBLA,Consumer Non-Cyclicals,4024798806016.0
TCID,Consumer Non-Cyclicals,1222485344256.0
TGKA,Consumer Non-Cyclicals,4564909031424.0
ULTJ,Consumer Non-Cyclicals,15909207932928.0
UNSP,Consumer Non-Cyclicals,750048706560.0
UNVR,Consumer Non-Cyclicals,87744999063552.0
WAPO,Consumer Non-Cyclicals,224607092736.0
WICO,Consumer Non-Cyclicals,294426378240.0
WIIM,Consumer Non-Cyclicals,3985484808192.0
DAYA,Consumer Non-Cyclicals,3134608375808.0
DPUM,Consumer Non-Cyclicals,766275354624.0
KINO,Consumer Non-Cyclicals,1695947292672.0
CLEO,Consumer Non-Cyclicals,9695999819776.0
HOKI,Consumer Non-Cyclicals,735509151744.0
CAMP,Consumer Non-Cyclicals,1282929983488.0
PCAR,Consumer Non-Cyclicals,53666668544.0
MGRO,Consumer Non-Cyclicals,2520582193152.0
ANDI,Consumer Non-Cyclicals,271149989888.0
GOOD,Consumer Non-Cyclicals,12833512226816.0
FOOD,Consumer Non-Cyclicals,179399999488.0
BEEF,Consumer Non-Cyclicals,2533517688832.0
COCO,Consumer Non-Cyclicals,1032242266112.0
ITIC,Consumer Non-Cyclicals,308556169216.0
